Year,Genre,Count
1956,Rock,1
1957,Rock,2
1960,Rock,1
1963,Rock,3
1964,Rock,2
1965,Rock,11
1966,Rock,11
1967,Rock,17
1968,Rock,18
1969,Rock,20
1970,Rock,22
1971,Rock,15
1972,Rock,15
1973,Rock,16
1974,Rock,9
1975,Rock,13
1976,Rock,11
1977,Rock,15
1978,Rock,13
1979,Rock,13
1980,Rock,8
1981,Rock,6
1982,Rock,4
1983,Rock,5
1984,Rock,7
1985,Rock,7
1986,Rock,6
1987,Rock,8
1988,Rock,4
1989,Rock,7
1990,Rock,1
1991,Rock,7
1992,Rock,3
1993,Rock,5
1994,Rock,10
1995,Rock,2
1997,Rock,3
1998,Rock,1
1999,Rock,4
2000,Rock,3
2001,Rock,5
2002,Rock,6
2003,Rock,1
2004,Rock,2
2005,Rock,1
2006,Rock,2
2007,Rock,4
2011,Rock,1
1960,Funk / Soul,1
1961,Funk / Soul,1
1962,Funk / Soul,1
1963,Funk / Soul,2
1965,Funk / Soul,1
1966,Funk / Soul,2
1967,Funk / Soul,2
1968,Funk / Soul,5
1969,Funk / Soul,4
1970,Funk / Soul,3
1971,Funk / Soul,3
1972,Funk / Soul,8
1973,Funk / Soul,4
1974,Funk / Soul,3
1975,Funk / Soul,3
1976,Funk / Soul,2
1978,Funk / Soul,2
1979,Funk / Soul,1
1980,Funk / Soul,1
1982,Funk / Soul,2
1984,Funk / Soul,2
1985,Funk / Soul,3
1986,Funk / Soul,3
1987,Funk / Soul,2
1989,Funk / Soul,2
1991,Funk / Soul,4
1992,Funk / Soul,2
1994,Funk / Soul,2
1995,Funk / Soul,1
1996,Funk / Soul,1
1997,Funk / Soul,1
2000,Funk / Soul,2
2001,Funk / Soul,1
2003,Funk / Soul,1
2006,Funk / Soul,1
2008,Funk / Soul,1
1955,Pop,1
1956,Pop,1
1957,Pop,1
1959,Pop,1
1963,Pop,2
1965,Pop,2
1966,Pop,1
1967,Pop,1
1968,Pop,1
1970,Pop,2
1971,Pop,2
1972,Pop,2
1974,Pop,2
1975,Pop,1
1978,Pop,2
1979,Pop,3
1981,Pop,1
1982,Pop,2
1983,Pop,2
1985,Pop,1
1986,Pop,3
1987,Pop,2
1989,Pop,3
1990,Pop,2
1991,Pop,1
1994,Pop,1
1995,Pop,1
1996,Pop,1
1997,Pop,1
1998,Pop,1
1999,Pop,1
2001,Pop,1
2002,Pop,2
2006,Pop,1
2007,Pop,2
1966,Electronic,1
1968,Electronic,1
1975,Electronic,1
1977,Electronic,4
1978,Electronic,2
1979,Electronic,2
1980,Electronic,1
1983,Electronic,2
